EGID_chiff;EWID;Belegungsjahr;Bauperiode;Quartiersgruppe;Quartiersgruppe Name;Wohnungsgroesse;Anz_Kinder;Anz_Erwachsene;HH_Typ;HH_Typ_label;Erstellungsjahr
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;6;2015;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2013
187-17-137-12-103-156-77-13-50-215-115-252-65-121-174-66-2-170-150-133-67-68-231-164-63-43-149-207-149-118-132-56;6;2019;8023;13;Quartiergruppe Lachen;3;0;3;6;Haushalte mit drei oder mehr Erwachsenen;2019
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;6;2018;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2013
187-17-137-12-103-156-77-13-50-215-115-252-65-121-174-66-2-170-150-133-67-68-231-164-63-43-149-207-149-118-132-56;7;2019;8023;13;Quartiergruppe Lachen;3;0;1;1;Einpersonenhaushalt;2019
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;6;2019;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2013
187-17-137-12-103-156-77-13-50-215-115-252-65-121-174-66-2-170-150-133-67-68-231-164-63-43-149-207-149-118-132-56;8;2019;8023;13;Quartiergruppe Lachen;2;0;1;1;Einpersonenhaushalt;2019
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;7;2013;8022;12;Quartiergruppe Bruggen;2;0;1;1;Einpersonenhaushalt;2013
187-17-137-12-103-156-77-13-50-215-115-252-65-121-174-66-2-170-150-133-67-68-231-164-63-43-149-207-149-118-132-56;10;2019;8023;13;Quartiergruppe Lachen;2;0;1;1;Einpersonenhaushalt;2019
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;7;2018;8022;12;Quartiergruppe Bruggen;2;0;1;1;Einpersonenhaushalt;2013
187-17-137-12-103-156-77-13-50-215-115-252-65-121-174-66-2-170-150-133-67-68-231-164-63-43-149-207-149-118-132-56;20;2019;8023;13;Quartiergruppe Lachen;2;0;1;1;Einpersonenhaushalt;2019
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;7;2019;8022;12;Quartiergruppe Bruggen;2;0;1;1;Einpersonenhaushalt;2013
187-8-88-235-0-188-129-23-49-142-36-254-1-136-60-71-55-235-224-56-62-195-228-5-33-140-250-118-220-2-57-58;2;2015;8022;32;Quartiergruppe Langgass - Heiligkreuz;4;0;3;6;Haushalte mit drei oder mehr Erwachsenen;2013
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;8;2014;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2013
187-8-88-235-0-188-129-23-49-142-36-254-1-136-60-71-55-235-224-56-62-195-228-5-33-140-250-118-220-2-57-58;2;2019;8022;32;Quartiergruppe Langgass - Heiligkreuz;4;0;3;6;Haushalte mit drei oder mehr Erwachsenen;2013
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;8;2016;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2013
187-8-88-235-0-188-129-23-49-142-36-254-1-136-60-71-55-235-224-56-62-195-228-5-33-140-250-118-220-2-57-58;3;2014;8022;32;Quartiergruppe Langgass - Heiligkreuz;4;0;3;6;Haushalte mit drei oder mehr Erwachsenen;2013
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;9;2016;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2013
18-249-175-188-107-99-55-200-210-150-50-206-103-201-103-194-162-181-23-24-226-194-26-124-114-122-227-15-115-1-230-97;2;2016;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;1;1;Einpersonenhaushalt;2015
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;9;2017;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2013
18-249-175-188-107-99-55-200-210-150-50-206-103-201-103-194-162-181-23-24-226-194-26-124-114-122-227-15-115-1-230-97;3;2015;8022;26;Quartiergruppe Linsebühl - Dreilinden;4;0;2;5;Haushalte mit zwei Erwachsenen;2015
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;10;2016;8022;12;Quartiergruppe Bruggen;2;0;1;1;Einpersonenhaushalt;2013
18-249-175-188-107-99-55-200-210-150-50-206-103-201-103-194-162-181-23-24-226-194-26-124-114-122-227-15-115-1-230-97;5;2015;8022;26;Quartiergruppe Linsebühl - Dreilinden;5;2;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2015
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;11;2013;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2013
18-249-175-188-107-99-55-200-210-150-50-206-103-201-103-194-162-181-23-24-226-194-26-124-114-122-227-15-115-1-230-97;5;2018;8022;26;Quartiergruppe Linsebühl - Dreilinden;5;2;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2015
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;12;2013;8022;12;Quartiergruppe Bruggen;2;0;1;1;Einpersonenhaushalt;2013
18-249-175-188-107-99-55-200-210-150-50-206-103-201-103-194-162-181-23-24-226-194-26-124-114-122-227-15-115-1-230-97;7;2016;8022;26;Quartiergruppe Linsebühl - Dreilinden;5;2;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2015
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;12;2015;8022;12;Quartiergruppe Bruggen;2;0;1;1;Einpersonenhaushalt;2013
18-249-175-188-107-99-55-200-210-150-50-206-103-201-103-194-162-181-23-24-226-194-26-124-114-122-227-15-115-1-230-97;7;2018;8022;26;Quartiergruppe Linsebühl - Dreilinden;5;2;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2015
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;12;2019;8022;12;Quartiergruppe Bruggen;2;0;1;1;Einpersonenhaushalt;2013
18-249-175-188-107-99-55-200-210-150-50-206-103-201-103-194-162-181-23-24-226-194-26-124-114-122-227-15-115-1-230-97;9;2017;8022;26;Quartiergruppe Linsebühl - Dreilinden;5;1;1;2;Eine erwachsene Person mit mindestens einer Person unter 18 Jahren;2015
124-12-56-12-139-255-77-156-122-118-241-83-149-101-168-178-2-239-106-244-14-152-104-234-241-31-138-170-82-228-146-90;13;2019;8022;12;Quartiergruppe Bruggen;2;0;1;1;Einpersonenhaushalt;2013
18-249-175-188-107-99-55-200-210-150-50-206-103-201-103-194-162-181-23-24-226-194-26-124-114-122-227-15-115-1-230-97;11;2018;8022;26;Quartiergruppe Linsebühl - Dreilinden;5;0;2;5;Haushalte mit zwei Erwachsenen;2015
126-71-198-151-87-161-222-69-173-244-169-160-82-121-88-195-65-166-16-248-128-4-228-222-22-181-139-60-216-158-249-43;3;2012;8022;33;Quartiergruppe St.Fiden;5;1;3;4;Drei oder mehr Erwachsene mit mindestens einer Person unter 18 Jahren;2011
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;1;2013;8022;11;Quartiergruppe Winkeln;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
126-71-198-151-87-161-222-69-173-244-169-160-82-121-88-195-65-166-16-248-128-4-228-222-22-181-139-60-216-158-249-43;3;2014;8022;33;Quartiergruppe St.Fiden;5;2;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2011
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;2;2011;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;3;2019;8023;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;2;2012;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;4;2016;8023;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;2;2016;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;5;2018;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;2;5;Haushalte mit zwei Erwachsenen;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;2;2019;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;6;2018;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;3;6;Haushalte mit drei oder mehr Erwachsenen;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;4;2012;8022;11;Quartiergruppe Winkeln;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;12;2018;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;2;5;Haushalte mit zwei Erwachsenen;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;4;2017;8022;11;Quartiergruppe Winkeln;3;0;2;5;Haushalte mit zwei Erwachsenen;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;14;2017;8023;32;Quartiergruppe Langgass - Heiligkreuz;2;0;1;1;Einpersonenhaushalt;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;5;2016;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;15;2017;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;2;5;Haushalte mit zwei Erwachsenen;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;6;2012;8022;11;Quartiergruppe Winkeln;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;16;2017;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;1;1;Einpersonenhaushalt;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;7;2012;8022;11;Quartiergruppe Winkeln;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;17;2016;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;1;1;Einpersonenhaushalt;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;7;2017;8022;11;Quartiergruppe Winkeln;4;0;2;5;Haushalte mit zwei Erwachsenen;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;17;2017;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;1;1;Einpersonenhaushalt;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;8;2019;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;17;2019;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;1;1;Einpersonenhaushalt;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;9;2013;8022;11;Quartiergruppe Winkeln;4;0;1;1;Einpersonenhaushalt;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;18;2018;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;1;1;Einpersonenhaushalt;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;9;2014;8022;11;Quartiergruppe Winkeln;4;0;1;1;Einpersonenhaushalt;2011
127-23-117-59-238-84-44-130-183-247-82-175-69-103-53-65-243-32-92-88-75-125-231-179-244-129-85-56-124-91-151-212;18;2019;8023;32;Quartiergruppe Langgass - Heiligkreuz;3;0;1;1;Einpersonenhaushalt;2016
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;9;2016;8022;11;Quartiergruppe Winkeln;4;0;1;1;Einpersonenhaushalt;2011
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;1;2016;8022;26;Quartiergruppe Linsebühl - Dreilinden;2;0;2;5;Haushalte mit zwei Erwachsenen;2013
190-153-60-25-33-57-52-0-21-188-102-183-221-98-135-199-86-114-162-223-225-3-212-41-174-137-74-167-118-218-234-24;9;2017;8022;11;Quartiergruppe Winkeln;4;0;1;1;Einpersonenhaushalt;2011
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;1;2017;8022;26;Quartiergruppe Linsebühl - Dreilinden;2;0;2;5;Haushalte mit zwei Erwachsenen;2013
191-124-244-5-239-216-29-209-138-192-3-183-57-105-81-85-160-119-229-222-164-229-172-6-193-104-45-66-222-91-167-109;1;2019;8023;25;Quartiergruppe St.Jakob;3;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2016
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;2;2015;8022;26;Quartiergruppe Linsebühl - Dreilinden;2;0;1;1;Einpersonenhaushalt;2013
191-124-244-5-239-216-29-209-138-192-3-183-57-105-81-85-160-119-229-222-164-229-172-6-193-104-45-66-222-91-167-109;2;2019;8023;25;Quartiergruppe St.Jakob;3;0;2;5;Haushalte mit zwei Erwachsenen;2016
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;2;2018;8022;26;Quartiergruppe Linsebühl - Dreilinden;2;0;1;1;Einpersonenhaushalt;2013
191-124-244-5-239-216-29-209-138-192-3-183-57-105-81-85-160-119-229-222-164-229-172-6-193-104-45-66-222-91-167-109;4;2016;8023;25;Quartiergruppe St.Jakob;3;0;2;5;Haushalte mit zwei Erwachsenen;2016
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;3;2018;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;2;5;Haushalte mit zwei Erwachsenen;2013
191-124-244-5-239-216-29-209-138-192-3-183-57-105-81-85-160-119-229-222-164-229-172-6-193-104-45-66-222-91-167-109;6;2016;8023;25;Quartiergruppe St.Jakob;2;0;1;1;Einpersonenhaushalt;2016
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;4;2014;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;1;1;Einpersonenhaushalt;2013
191-124-244-5-239-216-29-209-138-192-3-183-57-105-81-85-160-119-229-222-164-229-172-6-193-104-45-66-222-91-167-109;7;2018;8023;25;Quartiergruppe St.Jakob;3;1;1;2;Eine erwachsene Person mit mindestens einer Person unter 18 Jahren;2016
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;4;2018;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;1;1;Einpersonenhaushalt;2013
191-124-244-5-239-216-29-209-138-192-3-183-57-105-81-85-160-119-229-222-164-229-172-6-193-104-45-66-222-91-167-109;8;2018;8023;25;Quartiergruppe St.Jakob;3;0;2;5;Haushalte mit zwei Erwachsenen;2016
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;7;2015;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;1;1;Einpersonenhaushalt;2013
191-124-244-5-239-216-29-209-138-192-3-183-57-105-81-85-160-119-229-222-164-229-172-6-193-104-45-66-222-91-167-109;9;2017;8023;25;Quartiergruppe St.Jakob;2;0;2;5;Haushalte mit zwei Erwachsenen;2016
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;7;2019;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;2;5;Haushalte mit zwei Erwachsenen;2013
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;1;2015;8022;12;Quartiergruppe Bruggen;3;0;1;1;Einpersonenhaushalt;2014
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;8;2015;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;2;5;Haushalte mit zwei Erwachsenen;2013
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;2;2018;8022;12;Quartiergruppe Bruggen;4;3;5;4;Drei oder mehr Erwachsene mit mindestens einer Person unter 18 Jahren;2014
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;8;2016;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;2;5;Haushalte mit zwei Erwachsenen;2013
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;4;2016;8022;12;Quartiergruppe Bruggen;3;0;1;1;Einpersonenhaushalt;2014
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;9;2016;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;1;1;Einpersonenhaushalt;2013
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;5;2016;8022;12;Quartiergruppe Bruggen;4;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2014
127-30-61-77-63-249-122-110-170-59-111-3-184-182-66-32-211-194-232-12-8-194-250-61-65-230-217-102-29-178-181-106;9;2018;8022;26;Quartiergruppe Linsebühl - Dreilinden;3;0;1;1;Einpersonenhaushalt;2013
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;5;2018;8022;12;Quartiergruppe Bruggen;4;1;1;2;Eine erwachsene Person mit mindestens einer Person unter 18 Jahren;2014
127-56-254-199-159-160-86-252-197-127-94-77-64-227-181-210-131-74-152-170-255-190-182-66-48-243-107-130-35-191-220-223;1;2015;8022;13;Quartiergruppe Lachen;4;0;1;1;Einpersonenhaushalt;2013
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;6;2016;8022;12;Quartiergruppe Bruggen;4;0;3;6;Haushalte mit drei oder mehr Erwachsenen;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;1;2018;8022;11;Quartiergruppe Winkeln;3;0;1;1;Einpersonenhaushalt;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;7;2016;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;3;2015;8022;11;Quartiergruppe Winkeln;4;0;4;6;Haushalte mit drei oder mehr Erwachsenen;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;7;2019;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;3;2017;8022;11;Quartiergruppe Winkeln;4;0;2;5;Haushalte mit zwei Erwachsenen;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;8;2016;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;3;2018;8022;11;Quartiergruppe Winkeln;4;0;2;5;Haushalte mit zwei Erwachsenen;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;8;2019;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;4;2015;8022;11;Quartiergruppe Winkeln;3;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;10;2015;8022;12;Quartiergruppe Bruggen;3;0;1;1;Einpersonenhaushalt;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;6;2015;8022;11;Quartiergruppe Winkeln;3;0;2;5;Haushalte mit zwei Erwachsenen;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;10;2017;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;6;2018;8022;11;Quartiergruppe Winkeln;3;0;1;1;Einpersonenhaushalt;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;10;2018;8022;12;Quartiergruppe Bruggen;3;0;2;5;Haushalte mit zwei Erwachsenen;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;11;2018;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;11;2016;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;12;2017;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;12;2016;8022;12;Quartiergruppe Bruggen;4;0;2;5;Haushalte mit zwei Erwachsenen;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;13;2018;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;12;2019;8022;12;Quartiergruppe Bruggen;4;0;1;1;Einpersonenhaushalt;2014
128-99-210-125-251-151-129-46-17-194-1-47-209-137-246-139-119-122-233-62-155-217-45-212-24-99-59-168-90-131-77-133;14;2019;8022;11;Quartiergruppe Winkeln;2;0;1;1;Einpersonenhaushalt;2015
191-188-165-231-133-252-94-75-15-46-93-127-205-25-27-47-180-54-253-236-21-69-177-205-252-115-165-92-89-105-244-65;14;2019;8022;12;Quartiergruppe Bruggen;3;0;1;1;Einpersonenhaushalt;2014
130-134-120-77-236-60-101-227-42-149-118-231-27-205-233-150-37-20-132-23-38-85-143-123-118-52-148-122-30-16-228-198;1;2015;8022;35;Quartiergruppe Neudorf;4;0;2;5;Haushalte mit zwei Erwachsenen;2013
191-255-254-4-204-43-241-172-159-26-124-17-255-171-25-164-235-23-193-49-182-250-91-53-148-11-26-2-157-104-87-209;1;2019;8023;12;Quartiergruppe Bruggen;6;0;2;5;Haushalte mit zwei Erwachsenen;2019
130-134-120-77-236-60-101-227-42-149-118-231-27-205-233-150-37-20-132-23-38-85-143-123-118-52-148-122-30-16-228-198;3;2013;8022;35;Quartiergruppe Neudorf;4;0;2;5;Haushalte mit zwei Erwachsenen;2013
193-132-130-167-63-88-159-212-46-255-75-204-89-197-167-185-18-147-64-146-168-67-249-226-37-189-121-198-183-38-227-87;1;2015;8022;33;Quartiergruppe St.Fiden;5;0;2;5;Haushalte mit zwei Erwachsenen;2014
130-134-120-77-236-60-101-227-42-149-118-231-27-205-233-150-37-20-132-23-38-85-143-123-118-52-148-122-30-16-228-198;3;2014;8022;35;Quartiergruppe Neudorf;4;0;3;6;Haushalte mit drei oder mehr Erwachsenen;2013
